abbreviation,name,population_2010,population_2018
AL,Alabama,"4,785,448","4,887,871"
AK,Alaska,"713,906","737,438"
AZ,Arizona,"6,407,774","7,171,646"
AR,Arkansas,"2,921,978","3,013,825"
CA,California,"37,320,903","39,557,045"
CO,Colorado,"5,048,281","5,695,564"
CT,Connecticut,"3,579,125","3,572,665"
DE,Delaware,"899,595","967,171"
DC,District of Columbia,"605,085","702,455"
FL,Florida,"18,845,785","21,299,325"
GA,Georgia,"9,711,810","10,519,475"
HI,Hawaii,"1,363,963","1,420,491"
ID,Idaho,"1,570,773","1,754,208"
IL,Illinois,"12,840,762","12,741,080"
IN,Indiana,"6,490,436","6,691,878"
IA,Iowa,"3,050,767","3,156,145"
KS,Kansas,"2,858,213","2,911,505"
KY,Kentucky,"4,348,200","4,468,402"
LA,Louisiana,"4,544,532","4,659,978"
ME,Maine,"1,327,632","1,338,404"
MD,Maryland,"5,788,642","6,042,718"
MA,Massachusetts,"6,566,431","6,902,149"
MI,Michigan,"9,877,535","9,995,915"
MN,Minnesota,"5,310,843","5,611,179"
MS,Mississippi,"2,970,536","2,986,530"
MO,Missouri,"5,995,976","6,126,452"
MT,Montana,"990,722","1,062,305"
NE,Nebraska,"1,829,536","1,929,268"
NV,Nevada,"2,702,464","3,034,392"
NH,New Hampshire,"1,316,777","1,356,458"
NJ,New Jersey,"8,799,624","8,908,520"
NM,New Mexico,"2,064,588","2,095,428"
NY,New York,"19,400,080","19,542,209"
NC,North Carolina,"9,574,293","10,383,620"
ND,North Dakota,"674,710","760,077"
OH,Ohio,"11,539,327","11,689,442"
OK,Oklahoma,"3,759,632","3,943,079"
OR,Oregon,"3,837,532","4,190,713"
PA,Pennsylvania,"12,711,158","12,807,060"
PR,Puerto Rico,"8,023,680","3,195,153"
RI,Rhode Island,"1,053,938","1,057,315"
SC,South Carolina,"4,635,656","5,084,127"
SD,South Dakota,"816,165","882,235"
TN,Tennessee,"6,355,301","6,770,010"
TX,Texas,"25,242,679","28,701,845"
UT,Utah,"2,775,334","3,161,105"
VT,Vermont,"625,880","626,299"
VA,Virginia,"8,023,680","8,517,685"
WA,Washington,"6,742,902","7,535,591"
WV,West Virginia,"1,854,214","1,805,832"
WI,Wisconsin,"5,690,479","5,813,568"
WY,Wyoming,"564,483","577,737"